"country","fsystem","crop","total","area5.5_ha","area6.0_ha","area6.5_ha","area14_ha","diff"
"Sudan","1. Maize mixed","PLNT",45,NA,NA,32,13,NA
"Sudan","2. Agro-pastoral","MAIZ",8102.40001355112,NA,NA,749.200002193451,5017.00000631809,NA
"Sudan","2. Agro-pastoral","SORG",1983137.30163471,NA,NA,133492.899999619,1611879.70242627,NA
"Sudan","2. Agro-pastoral","BEAN",3446.40000233054,NA,NA,343.699999570847,2598.79999881983,NA
"Sudan","2. Agro-pastoral","CHIC",2518.49999988079,NA,NA,236.000000059605,2270.0000000149,NA
"Sudan","2. Agro-pastoral","LENT",2511,NA,NA,234,2277,NA
"Sudan","2. Agro-pastoral","WHEA",3611.29997242242,NA,NA,243.199998766184,3145.79997773468,NA
"Sudan","2. Agro-pastoral","BARL",2512.39999997616,NA,NA,234,2277,NA
"Sudan","2. Agro-pastoral","ACOF",2509.30000000447,NA,NA,234,2275.30000000447,NA
"Sudan","2. Agro-pastoral","RCOF",2511,NA,NA,234,2277,NA
"Sudan","2. Agro-pastoral","RICE",2785.10000027716,NA,NA,267.999999456108,2377.19999922812,NA
"Sudan","2. Agro-pastoral","PMIL",919620.900105506,NA,NA,189328.999893397,666009.199437536,NA
"Sudan","2. Agro-pastoral","SMIL",2511.60000002384,NA,NA,234,2277,NA
"Sudan","2. Agro-pastoral","POTA",3244.09999904782,NA,NA,378.29999949038,2368.80000007153,NA
"Sudan","2. Agro-pastoral","SWPO",2814.89999514818,NA,NA,243.700000047684,2395.69999718666,NA
"Sudan","2. Agro-pastoral","CASS",3770.39999847114,NA,NA,824.59999537468,2498.80000305176,NA
"Sudan","2. Agro-pastoral","COWP",10223.6999584585,NA,NA,1256.8999786377,4773.59998703003,NA
"Sudan","2. Agro-pastoral","PIGE",2511,NA,NA,234,2277,NA
"Sudan","2. Agro-pastoral","SOYB",2520.00000019372,NA,NA,234,2285.80000019073,NA
"Sudan","2. Agro-pastoral","GROU",499645.50047417,NA,NA,83702.9999175072,358846.3004255,NA
"Sudan","2. Agro-pastoral","SUGC",2889.40000194311,NA,NA,234,2655.40000194311,NA
"Sudan","2. Agro-pastoral","COTT",8759.99999301881,NA,NA,366.20000320673,7403.09998895228,NA
"Sudan","2. Agro-pastoral","COCO",2511,NA,NA,234,2277,NA
"Sudan","2. Agro-pastoral","TEAS",2511,NA,NA,234,2277,NA
"Sudan","2. Agro-pastoral","TOBA",2514.39999996871,NA,NA,233.200000055134,2276.49999997765,NA
"Sudan","2. Agro-pastoral","BANA",2534.70000009239,NA,NA,234,2275.40000000596,NA
"Sudan","2. Agro-pastoral","PLNT",2511,NA,NA,234,2277,NA
"Sudan","5. Cereal-root crop mixed","MAIZ",1407.49999601394,NA,46.7999992370605,150.300003409386,570.699998617172,NA
"Sudan","5. Cereal-root crop mixed","SORG",811880.699780844,NA,14.5,1161.2000053525,798369.599873617,NA
"Sudan","5. Cereal-root crop mixed","BEAN",408.60000000149,NA,3,61.4999999776483,334.000000029802,NA
"Sudan","5. Cereal-root crop mixed","CHIC",394.299999967217,NA,3,59.8999999761581,329.300000011921,NA
"Sudan","5. Cereal-root crop mixed","LENT",393,NA,3,60,330,NA
"Sudan","5. Cereal-root crop mixed","WHEA",1097.2999721244,NA,3,57.1999999806285,1014.69997216016,NA
"Sudan","5. Cereal-root crop mixed","BARL",393.199999988079,NA,3,58.9000000059605,329.40000000596,NA
"Sudan","5. Cereal-root crop mixed","ACOF",393,NA,3,60,330,NA
"Sudan","5. Cereal-root crop mixed","RCOF",394.70000000298,NA,3,60,330,NA
"Sudan","5. Cereal-root crop mixed","RICE",452.800001300871,NA,5.90000009536743,58.3000000044703,327.500000029802,NA
"Sudan","5. Cereal-root crop mixed","PMIL",23425.0999775454,NA,5.79999995231628,375.000007629395,21801.0999580622,NA
"Sudan","5. Cereal-root crop mixed","SMIL",399.399999856949,NA,3,62.4999998807907,330.799999952316,NA
"Sudan","5. Cereal-root crop mixed","POTA",420.200000025332,NA,2.20000000298023,59.3000000119209,330.600000023842,NA
"Sudan","5. Cereal-root crop mixed","SWPO",398.400000102818,NA,3,60.7000000029802,329.800000011921,NA
"Sudan","5. Cereal-root crop mixed","CASS",1484.89998503029,NA,116.699996948242,60,330,NA
"Sudan","5. Cereal-root crop mixed","COWP",478.000000350177,NA,3,62.5,335.900000095367,NA
"Sudan","5. Cereal-root crop mixed","PIGE",393,NA,3,60,330,NA
"Sudan","5. Cereal-root crop mixed","SOYB",411.20000000298,NA,3,66.9999997615814,330.200000047684,NA
